,eviction_rate,corp_own_rate,mhi,r_mhi,non_white_rate
eviction_rate,1.0,-0.015870807326451245,-0.4937323339832521,-0.5603696444209392,0.786381450350365
corp_own_rate,-0.015870807326451245,1.0,-0.3287645819782042,-0.20546124814730088,-0.06626256900477662
mhi,-0.4937323339832521,-0.3287645819782042,1.0,0.8986563654038662,-0.6485153617034434
r_mhi,-0.5603696444209392,-0.20546124814730088,0.8986563654038662,1.0,-0.6554661688669005
non_white_rate,0.786381450350365,-0.06626256900477662,-0.6485153617034434,-0.6554661688669005,1.0
